X,Y,OBJECTID,FEATURE_ID,NAME,ADDRESS,ZIP,INVENTORY_ID,DISTRICT,OWNERSHIP_TYPE,OWNER,REG_SPACES,ACCESSIBLE,XCOORD,YCOORD,LONGITUDE,LATITUDE,ADDRESS_NUM,ON_PREFIX,ON_STNAME,ON_STYPE,ON_SUFFIX,CROSS_PREFIX,CROSS_STNAME,CROSS_STYPE,CROSS_SUFFIX
-122.15452428213,47.4433574577476,34,570121,Nativity Lutheran Church P&R,17707 140th Ave,98058,530,S,L, ,49,0,1313493.23779,164530.431263,-122.15452679,47.44335528,17707, ,140th,Ave,SE,SE,177th,St, 
-122.038091570246,47.2099895953587,35,570126,Farmers Park P&R,22729 SE 436th St,98022,523,S,L, ,25,0,1340969,78943,-122.03809427,47.20998778,22729,SE,436th,St, , ,228th,Ave,SE
-122.033518529223,47.6019091534969,36,570128,Sammamish Hills Lutheran Church P&R,22818 SE 8th St,98074,588,E,L, ,54,0,1344335,221867,-122.03352017,47.60190677,22818,SE,8th,St, , ,228th,Ave,SE
-122.137868310444,47.4637118424585,37,570129,New Life Church at Renton P&R,15711 152nd Ave SE,98059,536,S,L, ,25,0,1317740.14629,171883.626564,-122.13787069,47.46370963,15711, ,152nd ,Ave,SE, ,,,
-122.28706282026,47.4705343938651,38,570130,The Church by the Side of the Road P&R,3455 S 148th St,98168,577,S,L, ,28,0,1280888.08034,175033.147212,-122.28706521,47.4705325,3455,S,148th,St, , ,,,
-122.30718876115,47.7343880061336,39,570014,Prince of Peace Lutheran Church P&R,14514 20th Ave NE,98155,544,N,L, ,20,0,1277754.3875,271354.854471,-122.30718994,47.73438619,14514, ,20th,Ave,NE, , , , 
-122.326389025673,47.3220879282681,40,570018,St Luke Lutheran Church - Fed Way P&R,515 S 312th St,98003,547,S,L, ,20,0,1270112.86,121081.31,-122.32639224,47.32208613,515,S,312th,St, , , , , 
-122.333917104586,47.4980660144764,41,570019,Beverly Park First Baptist Church P&R,11659 1st Ave S,98168,550,S,L, ,12,0,1269497.58379,185296.233722,-122.33391934,47.49806417,11659, ,1st,Ave,S,S,116th,St, 
-122.310239427309,47.3552313896546,42,570029,Redondo Heights P&R,27454 Pacific Hwy S,98003,757,S,P,KC,697,17,1274349.75,133091.438,-122.31024245,47.35522955,27454, ,Pacific,Hwy,S,S,276th,St, 
-122.341481298338,47.7748456121248,43,570033,Aurora Village Transit Center P&R,1524 N 200th St,98133,754,N,P,KC,202,0,1269606.50007,286273.125085,-122.34148234,47.77484398,1524,N,200th,St, , , , , 
-121.872762722082,47.5328311744863,44,570052,Snoqualmie Community Park P&R,35016 SE Ridge St,98065,631,E,L,,20,,1383650,196095,-121.87276447,47.53282854,35016,SE,Ridge,St,,,,,
-122.083530123822,47.7574628694886,45,570039,Woodinville Unitarian Universalist P&R,19020 NE Woodinville Duvall Rd,98072,559,E,L, ,30,0,1332920.11,278796.66,-122.08353104,47.75746073,19020, ,Woodinville Duvall,Rd, , , , , 
-122.322495327036,47.2894558112887,46,570058,South Federal Way P&R,901 S 348th St,98003,741,S,P,KC,515,0,1270848.12489,109161.680096,-122.32249872,47.28945402,901,S,348th,St, , , , , 
